culture,entity,term
Western,Clothing-Female,بيكيني
Western,Clothing-Female,باندانا
Western,Clothing-Male,بنطلون جينز
Western,Clothing-Male,جاكيت
Western,Clothing-Male,شورت
Western,Clothing-Male,بنطال ضيق
Western,Clothing-Male,بدلة
Western,Clothing-Male,سويت بانتس
Western,Clothing-Male,جينز
Western,Clothing-Male,سويت شيرت
Western,Clothing-Male,بندانا
Western,Clothing-Male,قلنسوة
Western,Clothing-Male,جكت
Western,Clothing-Male,جينز ممزق
Western,Clothing-Male,تيشيرت
Western,Clothing-Male,تيشرت
Western,Clothing-Male,قميص
Western,Clothing-Male,قبعة
Western,Clothing-Male,سكيني جينز
Western,Clothing-Male,جاكيت جلد
Western,Clothing-Male,تي شيرت
Western,Clothing-Male,بلوزة
Western,Food,بروغر
Western,Food,أكلير
Western,Food,سجناكي
Western,Food,أبوندانس
Western,Food,روستو
Western,Food,تاليريني
Western,Food,فليك
Western,Food,جورك
Western,Food,منتو
Western,Food,ماسامورا
Western,Food,فوتوتشيني
Western,Food,كاراسومي
Western,Food,بيدة مشحوة
Western,Food,مافالدينه
Western,Food,عيران ييك
Western,Food,تشيلي ريينو
Western,Food,مدزلونه
Western,Food,تمال
Western,Food,فيليا
Western,Food,بينغ
Western,Locations,أوسيو
Western,Locations,غرينوود
Western,Locations,أنكوريج
Western,Locations,أوكلاند
Western,Locations,هاريسبورغ
Western,Locations,زانيسفيل
Western,Locations,كارسون
Western,Locations,ري
Western,Locations,سيرريتوس
Western,Locations,تيلاموك
Western,Locations,كانزاس سيتي
Western,Locations,هامبتون
Western,Locations,روتشستر
Western,Locations,فورت أتكينسون
Western,Locations,شيروود
Western,Locations,رالي
Western,Locations,بيلوكسي
Western,Locations,ساند سيتي
Western,Locations,تونتيتاون
Western,Locations,ويلامينا
Western,Names-Female,تيتينا
Western,Names-Female,باريس
Western,Names-Female,مارغرت
Western,Names-Female,كاريشنا
Western,Names-Female,أنطونيا
Western,Names-Female,جيجى
Western,Names-Female,كريستيل
Western,Names-Female,كترينا
Western,Names-Female,جاسيكا
Western,Names-Female,فيرونيكا
Western,Names-Female,ميرازابيل
Western,Names-Female,ماتيلد
Western,Names-Female,انجلينا
Western,Names-Female,سالي
Western,Names-Female,جوزيفين
Western,Names-Female,غايا
Western,Names-Female,آن
Western,Names-Female,مرجريت
Western,Names-Female,أليدا
Western,Names-Female,كايتي
Western,Names-Male,جو
Western,Names-Male,بنيامين
Western,Names-Male,لويس
Western,Names-Male,رومان
Western,Names-Male,هيديسون
Western,Names-Male,ميسون
Western,Names-Male,بريام
Western,Names-Male,بول
Western,Names-Male,فردريك
Western,Names-Male,انطونيوس
Western,Names-Male,رولف
Western,Names-Male,خوان
Western,Names-Male,ديفيد
Western,Names-Male,رينالدو
Western,Names-Male,رودريجو
Western,Names-Male,جيف
Western,Names-Male,جيرارد
Western,Names-Male,طوني
Western,Names-Male,إغناسيو
Western,Names-Male,لوك
Western,Religious Places,كنيسة القديس فرنسيس الأسيزي
Western,Religious Places,كنيسة القديسة جوليا
Western,Religious Places,كنيسة مار اندراوس
Western,Religious Places,كنيسة القديس كريكورللأرمن
Western,Religious Places,كنيسة الحبل بلا دنس
Western,Religious Places,كنيسة القديس جالين
Western,Religious Places,كنيسة مار فارتان
Western,Religious Places,كنيسة السيدة للموارنة
Western,Religious Places,سانتي كوزما إي داميانو 
Western,Religious Places,كنيسة كارل في فيينا
Western,Religious Places,كنيسة مار يعقوب
Western,Religious Places,كنيسة القديس ستيفانو
Western,Religious Places,كنيسة القديسة ماتيلدا
Western,Religious Places,كنيسة السيدة القديمة
Western,Religious Places,كنيسة القديس نيكتاريوس
Western,Religious Places,كنيسة القديس ورطان
Western,Religious Places,كنيسة مار أحودامه
Western,Religious Places,كنيسة القديس ساتورنين
Western,Religious Places,كنيسة القديس هارون
Western,Religious Places,سانتو سبيريتو 
Western,Sports clubs,ايه سي براتو
Western,Sports clubs,ريونيس هاجنو الرياضي
Western,Sports clubs,غرونوبل
Western,Sports clubs,فيتربيسي 1908
Western,Sports clubs,سيون
Western,Sports clubs,بوفيه
Western,Sports clubs,إستريلا دا أمادورا
Western,Sports clubs,أتلتيكو أوتاوا
Western,Sports clubs,كالياري
Western,Sports clubs,ياغوستيرا
Western,Sports clubs,بلجيكا كلوب إديغيم
Western,Sports clubs,فاكر مونتشين
Western,Sports clubs,فيس بيزارو 1898
Western,Sports clubs,ألساندريا
Western,Sports clubs,يورك ناين
Western,Sports clubs,فيغيرويلاس
Western,Sports clubs,شافهاوزن
Western,Sports clubs,شالكه 04
Western,Sports clubs,إنترناسيونال تورينو
Western,Sports clubs,اي سي تشيزينا
